country,player,position,club,age,jersey_number,squad_status,announcement_date,group,confederation,is_final_squad
México,"( 1993-09-29 ) September 29, 1993 (Aged 32)",Defensa,Unknown,26,75,Final,2026-05-26,A,CONCACAF,1
México,"( 1993-10-14 ) October 14, 1993 (Aged 32)",Defensa,Unknown,26,14,Final,2026-05-26,A,CONCACAF,1
México,"( 1993-11-16 ) November 16, 1993 (Aged 32)",Defensa,Unknown,26,48,Final,2026-05-26,A,CONCACAF,1
México,"( 1993-12-23 ) December 23, 1993 (Aged 32)",Defensa,Unknown,26,58,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-01-10 ) January 10, 1994 (Aged 32)",Defensa,Unknown,26,2,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-01-25 ) January 25, 1994 (Aged 32)",Defensa,Unknown,26,8,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-01-29 ) January 29, 1994 (Aged 32)",Defensa,Unknown,26,16,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-02-05 ) February 5, 1994 (Aged 32)",Defensa,Unknown,26,90,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-02-25 ) February 25, 1994 (Aged 32)",Defensa,Unknown,26,64,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-03-11 ) March 11, 1994 (Aged 32)",Defensa,Unknown,26,92,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-03-20 ) March 20, 1994 (Aged 32)",Defensa,Unknown,26,17,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-03-22 ) March 22, 1994 (Aged 32)",Defensa,Unknown,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-03-23 ) March 23, 1994 (Aged 32)",Defensa,Unknown,26,63,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-05-13 ) May 13, 1994 (Aged 32)",Defensa,Unknown,26,18,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-05-14 ) May 14, 1994 (Aged 32)",Defensa,Unknown,26,7,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-05-27 ) May 27, 1994 (Aged 32)",Defensa,Unknown,26,44,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-05-28 ) May 28, 1994 (Aged 32)",Defensa,Manchester City,26,87,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-07-17 ) July 17, 1994 (Aged 31)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-08-08 ) August 8, 1994 (Aged 31)",Defensa,Unknown,26,7,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-08-09 ) August 9, 1994 (Aged 31)",Defensa,Unknown,26,38,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-08-13 ) August 13, 1994 (Aged 31)",Defensa,Unknown,26,18,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-08-15 ) August 15, 1994 (Aged 31)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-09-07 ) September 7, 1994 (Aged 31)",Defensa,Unknown,26,26,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-09-23 ) September 23, 1994 (Aged 31)",Defensa,Unknown,26,52,Final,2026-05-26,A,CONCACAF,1
México,"( 1994-11-28 ) November 28, 1994 (Aged 31)",Defensa,Auckland Fc,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-01-07 ) January 7, 1995 (Aged 31)",Defensa,Toronto Fc,26,73,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-01-17 ) January 17, 1995 (Aged 31)",Defensa,Unknown,26,29,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-01-30 ) January 30, 1995 (Aged 31)",Defensa,Unknown,26,23,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-04-26 ) April 26, 1995 (Aged 31)",Defensa,Unknown,26,32,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-05-07 ) May 7, 1995 (Aged 31)",Defensa,Unknown,26,37,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-06-01 ) June 1, 1995 (Aged 31)",Defensa,Unknown,26,15,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-06-19 ) June 19, 1995 (Aged 30)",Defensa,Unknown,26,52,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-07-01 ) July 1, 1995 (Aged 30)",Defensa,Unknown,26,18,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-07-19 ) July 19, 1995 (Aged 30)",Defensa,Unknown,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-07-22 ) July 22, 1995 (Aged 30)",Defensa,Unknown,26,44,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-08-01 ) August 1, 1995 (Aged 30)",Defensa,Unknown,26,34,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-09-20 ) September 20, 1995 (Aged 30)",Defensa,Unknown,26,12,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-09-22 ) September 22, 1995 (Aged 30)",Defensa,Unknown,26,19,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-10-23 ) October 23, 1995 (Aged 30)",Defensa,Zhejiang Fc,26,12,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-12-05 ) December 5, 1995 (Aged 30)",Defensa,Unknown,26,62,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-12-15 ) December 15, 1995 (Aged 30)",Defensa,Unknown,26,12,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-12-20 ) December 20, 1995 (Aged 30)",Defensa,Unknown,26,2,Final,2026-05-26,A,CONCACAF,1
México,"( 1995-12-27 ) December 27, 1995 (Aged 30)",Defensa,Unknown,26,53,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-01-25 ) January 25, 1996 (Aged 30)",Defensa,Unknown,26,40,Final,2026-05-26,A,CONCACAF,1
