date,home_team,away_team,elo_diff,form_home,form_away,h2h,neutral,outcome
1891-03-28,Scotland,Northern Ireland,503.533479170251,0.8,0.8,1.0,0,1
1891-04-04,England,Scotland,2.480115689254262,0.9,0.1,0.2,0,1
1892-02-27,Wales,Northern Ireland,184.91688588081502,0.0,0.8,0.4,0,0
1892-03-05,Northern Ireland,England,-216.73367531187478,0.3,0.1,0.0,0,-1
1892-03-05,Wales,England,-153.12276293786363,0.1,0.1,0.0,0,-1
1892-03-19,Northern Ireland,Scotland,-291.1610819025018,0.3,0.3,0.0,0,-1
1892-03-26,Scotland,Wales,427.67831354152077,0.7,0.9,0.8,0,1
1892-04-02,Scotland,England,159.3399998773532,0.8,0.0,0.6,0,-1
1893-02-25,England,Northern Ireland,465.0696714726246,1.0,0.9,1.0,0,1
1893-03-13,England,Wales,396.4170073125131,1.0,0.9,0.8,0,1
1893-03-18,Wales,Scotland,-213.73710487955577,0.1,0.4,0.0,0,-1
1893-03-25,Scotland,Northern Ireland,490.25451849063666,0.6,0.9,1.0,0,1
1893-04-01,England,Scotland,79.7698912469416,1.0,0.2,0.4,0,1
1894-02-24,Wales,Northern Ireland,164.63460570950406,0.1,0.9,0.4,0,1
1894-03-03,Northern Ireland,England,-293.3884740946446,0.0,0.0,0.0,0,0
1894-03-12,Wales,England,-201.67086508651937,0.2,0.1,0.0,0,-1
1894-03-24,Scotland,Wales,416.14768670004287,0.6,0.8,0.8,0,1
1894-03-31,Northern Ireland,Scotland,-282.57103960082827,0.1,0.4,0.0,0,-1
1894-04-07,Scotland,England,107.60097807975194,0.8,0.1,0.4,0,0
1895-03-09,England,Northern Ireland,489.3302507620658,0.8,0.9,0.8,0,1
1895-03-16,Northern Ireland,Wales,31.965925277093675,0.1,0.8,0.0,0,0
1895-03-18,England,Wales,423.3053243201084,0.8,0.7,1.0,0,0
1895-03-23,Wales,Scotland,-207.6210969058459,0.4,0.3,0.0,0,0
1895-03-30,Scotland,Northern Ireland,482.96526665936085,0.6,0.8,1.0,0,1
1895-04-06,England,Scotland,96.78678327911621,0.7,0.2,0.4,0,1
1896-02-29,Wales,Northern Ireland,193.1561159419466,0.3,0.8,0.4,0,1
1896-03-07,Northern Ireland,England,-301.60810270071966,0.1,0.2,0.0,0,-1
1896-03-16,Wales,England,-198.09483498988016,0.5,0.2,0.0,0,-1
1896-03-21,Scotland,Wales,382.2295302930854,0.6,0.5,0.6,0,1
1896-03-28,Northern Ireland,Scotland,-290.4545204482015,0.1,0.4,0.0,0,0
1896-04-04,Scotland,England,62.33556156616237,0.6,0.1,0.4,0,1
1897-02-20,England,Northern Ireland,495.2712287324048,0.7,0.8,0.8,0,1
1897-03-06,Northern Ireland,Wales,6.374834468136669,0.1,0.6,0.0,0,1
1897-03-20,Wales,Scotland,-205.01984053532442,0.3,0.3,0.0,0,0
1897-03-27,Scotland,Northern Ireland,461.245937831859,0.6,0.7,0.8,0,1
1897-03-29,England,Wales,411.6991632275285,0.8,0.7,1.0,0,1
1897-04-03,England,Scotland,123.17288870118296,0.8,0.2,0.4,0,-1
1898-02-19,Wales,Northern Ireland,171.53034700108515,0.1,0.7,0.2,0,-1
1898-03-05,Northern Ireland,England,-246.39624203587232,0.5,0.4,0.0,0,-1
1898-03-19,Scotland,Wales,435.6188878373298,0.8,0.9,0.4,0,1
1898-03-26,Northern Ireland,Scotland,-271.5419721166579,0.4,0.1,0.0,0,-1
1898-03-28,Wales,England,-226.68771148983637,0.1,0.4,0.0,0,-1
1898-04-02,Scotland,England,112.2465318097345,0.9,0.2,0.4,0,-1
1899-02-18,England,Northern Ireland,489.3716167881048,0.8,0.6,0.8,0,1
1899-03-04,Northern Ireland,Wales,68.10831996191905,0.2,0.9,0.2,0,1
1899-03-18,Wales,Scotland,-244.14693913618476,0.0,0.2,0.0,0,-1
1899-03-20,England,Wales,478.86985696540205,0.8,1.0,1.0,0,1
1899-03-25,Scotland,Northern Ireland,457.7540831539295,0.8,0.6,0.8,0,1
1899-04-08,England,Scotland,122.68944867475693,1.0,0.2,0.4,0,1
1900-02-03,Scotland,Wales,449.85052796435616,0.6,1.0,0.6,0,1
1900-02-24,Wales,Northern Ireland,99.9113474640692,0.0,0.8,0.2,0,1
1900-03-03,Northern Ireland,Scotland,-264.75230136194546,0.2,0.4,0.0,0,-1
1900-03-17,Northern Ireland,England,-310.53894423105726,0.2,0.0,0.0,0,-1
1900-03-26,Wales,England,-287.9594014999468,0.2,0.0,0.0,0,0
1900-04-07,Scotland,England,70.84201160750217,0.8,0.1,0.2,0,1
1901-02-23,Scotland,Northern Ireland,491.7685648136462,0.8,0.8,0.8,0,1
1901-03-02,Wales,Scotland,-252.0598483971944,0.3,0.2,0.0,0,0
1901-03-09,England,Northern Ireland,498.6305538759116,0.7,1.0,0.8,0,1
1901-03-18,England,Wales,447.8857726125848,0.7,0.6,0.8,0,1
1901-03-23,Northern Ireland,Wales,48.15344635155634,0.0,0.6,0.2,0,-1
1901-03-30,England,Scotland,116.55137947655112,0.7,0.1,0.4,0,0
1902-02-22,Wales,Northern Ireland,185.97803628567272,0.6,1.0,0.2,0,-1
1902-03-01,Northern Ireland,Scotland,-286.98992772074826,0.2,0.2,0.0,0,-1
1902-03-03,Wales,England,-252.54305588510897,0.4,0.4,0.0,0,0
1902-03-15,Scotland,Wales,441.20198051619286,0.8,0.6,0.4,0,1
1902-03-22,Northern Ireland,England,-289.3464168204757,0.2,0.4,0.0,0,-1
1902-05-03,England,Scotland,95.28332441159046,0.8,0.2,0.4,0,0
1902-07-20,Uruguay,Argentina,100.0,0.0,0.0,0.5,0,-1
1902-10-12,Austria,Hungary,100.0,0.0,0.0,0.5,0,1
1903-02-14,England,Northern Ireland,494.8734335080853,0.7,0.8,0.8,0,1
1903-03-02,England,Wales,438.5011749578582,0.7,0.7,0.6,0,1
1903-03-09,Wales,Scotland,-251.82794267062673,0.3,0.3,0.0,0,-1
1903-03-21,Scotland,Northern Ireland,514.9614313452537,0.8,0.8,0.8,0,-1
1903-03-28,Northern Ireland,Wales,76.79807596835644,0.4,0.9,0.4,0,1
1903-04-04,England,Scotland,113.95031832835684,0.8,0.3,0.4,0,-1
1903-04-05,Hungary,Czechoslovakia,89.20194999408659,0.0,0.0,0.5,0,1
1903-06-11,Hungary,Austria,89.63518849646516,0.5,0.0,0.0,0,1
1903-09-13,Argentina,Uruguay,138.40389998817318,1.0,1.0,1.0,0,-1
1903-10-11,Austria,Hungary,87.93727086952549,0.5,0.3333333333333333,0.5,0,1
1904-02-29,Wales,England,-240.64038764219367,0.1,0.3,0.0,0,0
1904-03-12,Northern Ireland,England,-231.37273426393222,0.4,0.4,0.0,0,-1
1904-03-12,Scotland,Wales,457.1961560623695,0.7,0.9,0.4,0,0
1904-03-21,Wales,Northern Ireland,127.97408300159191,0.2,0.6,0.2,0,-1
1904-03-26,Northern Ireland,Scotland,-238.90922560325475,0.6,0.4,0.2,0,0
1904-04-09,Scotland,England,106.3468144657977,0.6,0.3,0.4,0,-1
1904-05-01,Belgium,France,100.0,0.0,0.0,0.5,0,0
1904-06-02,Hungary,Austria,89.49775109536722,0.5,0.3333333333333333,0.3333333333333333,0,1
1904-10-09,Austria,Hungary,88.06359596952689,0.5,0.4,0.5,0,1
1905-02-12,France,Switzerland,104.20194999408659,0.5,0.0,0.5,0,1
1905-02-25,England,Northern Ireland,434.1217232193733,0.7,0.3,1.0,0,0
1905-03-06,Wales,Scotland,-223.11121720831738,0.2,0.6,0.0,0,1
1905-03-18,Scotland,Northern Ireland,365.3444942927608,0.4,0.4,0.6,0,1
1905-03-27,England,Wales,419.4529511611586,0.6,0.6,0.4,0,1
1905-04-01,England,Scotland,142.53106693215932,0.8,0.6,0.4,0,1
1905-04-08,Northern Ireland,Wales,109.9737148149602,0.4,0.6,0.6,0,0
1905-04-09,Hungary,Austria,89.3816628833979,0.6,0.4,0.4,0,0
1905-04-17,Guernsey,Alderney,100.0,0.0,0.0,0.5,0,1
1905-04-27,Jersey,Guernsey,89.20194999408659,0.0,0.0,0.5,0,-1
1905-04-30,Belgium,Netherlands,95.79805000591341,0.5,0.0,0.5,0,-1
1905-05-07,Belgium,France,61.93044113515293,0.25,0.25,0.0,0,1
1905-05-14,Netherlands,Belgium,129.916165778699,1.0,0.5,1.0,0,1
1905-07-21,Guyana,Trinidad and Tobago,100.0,0.0,0.0,0.5,0,-1
1905-08-15,Argentina,Uruguay,97.04759469449073,0.5,0.5,0.5,0,0
1906-02-17,Northern Ireland,England,-228.16873427664132,0.5,0.1,0.0,0,-1
1906-03-03,Scotland,Wales,368.08063543734306,0.3,0.6,0.4,0,-1
1906-03-17,Northern Ireland,Scotland,-146.87358960351526,0.3,0.8,0.2,0,-1
1906-03-19,Wales,England,-208.5271711439848,0.5,0.1,0.0,0,-1
1906-03-29,Jersey,Guernsey,51.664527010670554,0.0,0.0,0.0,0,-1
1906-04-01,Hungary,Czechoslovakia,107.7617846067119,0.5,1.0,1.0,0,0
1906-04-02,Wales,Northern Ireland,134.42549181129812,0.5,0.8,0.2,0,0
1906-04-02,Guernsey,Alderney,157.57905170673052,1.0,1.0,1.0,0,1
1906-04-07,Scotland,England,8.059467275033285,0.4,0.1,0.2,0,1
1906-04-22,France,Belgium,122.9997872144204,0.5,0.625,0.0,0,-1
1906-04-29,Belgium,Netherlands,70.90559818811425,0.5,0.0,0.0,0,1
1906-05-13,Netherlands,Belgium,105.13327597653688,0.6666666666666666,0.4,0.6666666666666666,0,-1
1906-08-15,Uruguay,Argentina,111.12082440842323,0.5,0.5,0.3333333333333333,0,-1
1906-10-07,Czechoslovakia,Hungary,101.25578621784916,0.25,0.6,0.0,0,0
1906-10-21,Argentina,Uruguay,128.15981066442146,0.625,0.625,0.5,0,1
1906-11-04,Hungary,Austria,81.5727796330973,0.5,0.5,0.2,0,1
1907-02-16,England,Northern Ireland,436.65465553433137,0.8,0.8,1.0,0,1
1907-02-23,Northern Ireland,Wales,74.38791096002478,0.2,0.6,0.6,0,-1
1907-03-04,Wales,Scotland,-132.49019093700076,0.6,0.4,0.2,0,1
1907-03-16,Scotland,Northern Ireland,373.97104113255864,0.4,0.9,0.8,0,1
1907-03-18,England,Wales,376.91581965454907,0.8,0.3,0.4,0,0
1907-03-21,Alderney,Jersey,16.557080018835222,0.0,1.0,0.5,1,-1
1907-04-04,Jersey,Guernsey,24.32251090494833,0.3333333333333333,0.0,0.0,0,-1
1907-04-06,England,Scotland,170.29457908662857,0.7,0.4,0.4,0,0
1907-04-07,Hungary,Czechoslovakia,118.78947248345526,0.5,0.6666666666666666,0.3333333333333333,0,1
1907-04-14,Belgium,Netherlands,133.6773711254882,0.8,0.5,0.5,0,-1
1907-04-21,Belgium,France,128.08178497338122,0.6,0.625,0.6666666666666666,0,-1
1907-05-05,Austria,Hungary,85.28178503794084,0.5,0.3,0.2,0,1
1907-05-09,Netherlands,Belgium,127.61964837476421,0.6,0.4,0.6,0,-1
1907-10-06,Czechoslovakia,Hungary,72.47609668865744,0.25,0.4,0.0,0,1
1907-11-03,Hungary,Austria,80.02205715928608,0.5,0.5,0.2,0,1
1908-02-15,Northern Ireland,England,-243.69509090378392,0.1,0.4,0.0,0,-1
1908-03-07,Scotland,Wales,289.58650683691735,0.7,0.4,0.4,0,1
1908-03-08,Switzerland,France,86.6962893717457,0.0,0.5,0.0,0,-1
1908-03-14,Northern Ireland,Scotland,-197.71633269453105,0.1,0.3,0.2,0,-1
1908-03-16,Wales,England,-156.9369115075583,0.6,0.4,0.0,0,-1
1908-03-29,Belgium,Netherlands,112.92968174302382,0.6,0.6,0.6,0,-1
1908-04-02,Guernsey,Alderney,106.59735615354043,1.0,1.0,1.0,1,1
1908-04-04,Scotland,England,40.80838188964367,0.7,0.2,0.2,0,0
1908-04-05,Hungary,Czechoslovakia,115.29776310461943,0.6,0.6,0.4,0,1
1908-04-05,Switzerland,Germany,70.70137423349297,0.0,0.0,0.5,0,1
1908-04-09,Guernsey,Jersey,218.31123011424074,1.0,0.75,1.0,0,-1
1908-04-11,Wales,Northern Ireland,197.22956717009015,0.5,1.0,0.4,0,-1
1908-04-12,France,Belgium,130.60583781014248,0.6,0.6,0.25,0,-1
1908-04-26,Netherlands,Belgium,106.10466283317646,0.4,0.6,0.6,0,1
1908-05-03,Austria,Hungary,86.57073960839284,0.5,0.4,0.0,0,1
1908-05-10,Netherlands,France,126.8298202633091,0.6,0.6,0.5,0,1
1908-06-06,Austria,England,-64.94525162554783,0.5,0.3,0.5,0,-1
1908-06-07,Austria,Germany,114.04320504592965,0.4,1.0,0.5,0,1
1908-06-08,Austria,England,-79.15595723453043,0.6,0.2,0.0,0,-1
1908-06-10,Hungary,England,-98.06060990127617,0.4,0.1,0.5,0,-1
1908-06-13,Czechoslovakia,England,-133.29022474154817,0.4,0.1,0.5,0,-1
1908-07-12,Sweden,Norway,100.0,0.0,0.0,0.5,0,1
1908-08-15,Uruguay,Argentina,52.43037106922384,0.3,0.3,0.2,0,0
1908-09-13,Argentina,Uruguay,152.06277551495077,0.6,0.6,0.6,0,1
1908-10-04,Argentina,Uruguay,169.71139193419413,0.8,0.8,0.8,0,-1
1908-10-22,France,Denmark,-8.803101095571037,0.4,0.0,0.5,1,-1
1908-10-23,Netherlands,Sweden,26.739152906034178,0.8,0.0,0.5,1,1
1908-10-25,Netherlands,Sweden,154.43485655361292,0.8,0.5,1.0,0,1
1908-10-26,Belgium,Sweden,112.35382214380229,0.4,0.6666666666666666,0.5,0,1
1908-11-01,Hungary,Austria,93.50099536487164,0.4,0.6,0.0,0,1
1909-02-13,England,Northern Ireland,494.77281046214375,0.9,0.8,1.0,0,1
1909-03-01,Wales,Scotland,-135.99734773528485,0.3,0.2,0.2,0,1
1909-03-15,England,Wales,424.0070917216267,1.0,0.7,0.4,0,1
1909-03-15,Scotland,Northern Ireland,368.87189692908373,0.6,0.8,0.8,0,1
1909-03-18,Guernsey,Jersey,171.60377486501443,0.8,0.6,0.75,0,1
1909-03-20,Northern Ireland,Wales,25.145789480820895,0.2,0.8,0.6,0,-1
1909-03-21,Belgium,Netherlands,50.75156989264883,0.6,0.0,0.4,0,-1
1909-03-25,Guernsey,Alderney,112.4578328551695,0.8,1.0,1.0,1,1
1909-04-03,England,Scotland,228.38571914076124,1.0,0.3,0.4,0,1
1909-04-04,Germany,Switzerland,95.07469198342915,0.0,0.6666666666666666,0.0,0,1
1909-04-04,Hungary,Germany,116.45865813776072,0.6,0.6666666666666666,0.5,0,0
1909-04-25,Netherlands,Belgium,183.59976748092572,1.0,0.6,0.8,0,1
1909-05-02,Austria,Hungary,89.23082280397489,0.4,0.5,0.0,0,-1
1909-05-09,Belgium,France,109.38642000217692,0.4,0.6,0.6,0,1
1909-05-29,Hungary,England,-114.74104619652326,0.5,0.0,0.0,0,-1
1909-05-30,Hungary,Austria,138.09013398478737,0.5,0.8,0.2,0,0
1909-05-31,Hungary,England,-140.84519333660296,0.6,0.0,0.0,0,-1
1909-06-01,Austria,England,-176.83403288356317,0.3,0.0,0.0,0,-1
1909-08-15,Argentina,Uruguay,126.12138666712599,0.7,0.7,0.6,0,1
1909-09-19,Uruguay,Argentina,54.31439878214451,0.3,0.3,0.2,0,0
